manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,performance_date,masked_item_impression,masked_order,masked_shop_page_view,masked_shop_click_from_search,masked_campaign_tab_click,masked_other_tab_click,kmeans.labels,agglomerative.average.labels,agglomerative.complete.labels,meanshift.labels
0.0,0.0,1.0,0.0,4.0,0.0,29.0,676.0,4086.0,5332.0,4.0,7.5,31205979.42857143,18265.428571428572,802.0714285714286,60.02255639097745,11.0,109.07142857142857,0,3,0,0
0.0,0.0,0.0,0.0,6.0,0.0,16.0,1072.0,2859.0,3746.0,3.0,7.5,8861953.142857144,59.642857142857146,123.64285714285714,27.233082706766915,11.0,44.80827067669173,0,3,0,0
0.0,0.0,1.0,0.0,6.0,0.0,24.0,1776.0,17355.0,8101.0,4.0,7.5,61355326.571428575,2110.8571428571427,999.5,44.86842105263158,11.0,180.57142857142858,0,3,0,0
1.0,1.0,0.0,0.0,20.0,0.0,30.0,4240.0,1474614.0,591385.0,4.0,7.5,1997699142857.1428,1268383831.2857144,41.07142857142857,3944119.785714286,6494.571428571428,48845.357142857145,1,1,4,7
1.0,0.0,1.0,0.0,0.0,0.0,30.0,1028.0,25302.0,28823.0,4.0,7.5,441753902.4285714,46992.28571428572,70.0,215.48872180451127,11.0,457.92857142857144,0,3,0,0
1.0,0.0,0.0,0.0,8.0,0.0,30.0,1391.0,50283.0,123827.0,4.0,7.5,17212906778.285713,18209482.42857143,183.5,3118.563909774436,11.0,1219.2857142857142,0,3,0,0
0.0,0.0,1.0,0.0,3.0,0.0,26.0,533.0,23850.0,16226.0,4.0,7.5,569917706.4285715,3933.785714285714,575.0,307.90225563909775,11.0,1117.142857142857,0,3,0,0
0.0,0.0,0.0,0.0,6.0,0.0,17.0,654.0,2466.0,1835.0,5.0,7.5,2210113.5,54.714285714285715,317.57142857142856,26.518796992481203,11.0,67.42857142857143,0,3,0,0
0.0,0.0,1.0,0.0,6.0,0.0,30.0,1094.0,5337.0,10857.0,4.0,7.5,237124615.2142857,5229.642857142857,504.57142857142856,222.66541353383454,11.0,242.64285714285714,0,3,0,0
1.0,1.0,0.0,0.0,20.0,0.0,26.0,10587.0,636978.0,87960.0,4.0,7.5,60434380155.78571,902408.8571428572,5.214285714285714,17699.214285714286,801.0,5660.142857142857,0,3,0,0
1.0,1.0,0.0,0.0,2.0,0.0,26.0,984.0,24159.0,131796.0,4.0,7.5,2645606506.642857,4312919.357142857,8.071428571428571,73.85714285714286,11.0,986.7142857142857,0,3,0,0
0.0,0.0,1.0,0.0,11.0,0.0,6.0,2821.0,12903.0,10012.0,4.0,7.5,107434708.85714285,368.5,2370.0714285714284,64.92105263157895,11.0,274.85714285714283,0,3,0,0
0.0,0.0,0.0,0.0,20.0,0.0,30.0,500.0,1044.0,1393.0,5.0,7.5,11370300.642857144,60.642857142857146,818.0714285714286,37.191729323308266,11.0,62.21804511278195,0,3,0,0
0.0,0.0,0.0,0.0,6.0,0.0,29.0,610.0,18093.0,7659.0,4.0,7.5,10384769.285714285,343.5,144.64285714285714,43.909774436090224,11.0,190.0,0,3,0,0
0.0,0.0,1.0,0.0,8.0,0.0,27.0,2073.0,120399.0,12794.0,4.0,7.5,250218823.0,609.2142857142857,207.28571428571428,241.56015037593986,11.0,142.85714285714286,0,3,0,0
1.0,0.0,0.0,0.0,5.0,0.0,30.0,4273.0,260589.0,53328.0,4.0,7.5,18015400643.42857,38524878.71428572,154.57142857142858,114.78571428571429,11.0,2361.714285714286,0,3,0,0
0.0,0.0,1.0,0.0,1.0,0.0,29.0,2997.0,8526.0,32619.0,5.0,7.5,942586612.9285715,83380.28571428571,170.5,46.421052631578945,11.0,768.2857142857143,0,3,0,0
0.0,0.0,0.0,0.0,3.0,0.0,30.0,1336.0,5229.0,4500.0,4.0,7.5,44031292.5,22.642857142857142,110.21428571428571,43.142857142857146,11.0,224.57142857142858,0,3,0,0
1.0,0.0,1.0,0.0,8.0,0.0,30.0,4416.0,305928.0,1061946.0,4.0,7.5,3402952142857.143,9799348640.357143,208.85714285714286,877.0714285714286,11.0,24128.35714285714,3,0,1,4
1.0,0.0,0.0,0.0,7.0,0.0,30.0,4328.0,146610.0,259937.0,4.0,7.5,25428709609.57143,13672453.92857143,487.64285714285717,450.07142857142856,11.0,3541.8571428571427,0,3,0,0
0.0,0.0,1.0,0.0,0.0,0.0,30.0,3932.0,7773.0,40367.0,5.0,7.5,423831208.71428573,69177.07142857143,47.214285714285715,83.6842105263158,11.0,378.57142857142856,0,3,0,0
1.0,0.0,1.0,0.0,1.0,0.0,28.0,1468.0,11985.0,35453.0,5.0,7.5,527862081.0714286,65582.42857142857,56.42857142857143,232.12781954887217,11.0,690.5,0,3,0,0
1.0,0.0,1.0,0.0,0.0,0.0,26.0,863.0,4389.0,52418.0,4.0,7.5,253271655.07142857,392859.28571428574,55.142857142857146,854.9924812030074,11.0,223.78571428571428,0,3,0,0
1.0,0.0,1.0,0.0,6.0,0.0,29.0,1369.0,12201.0,18410.0,5.0,7.5,1115171688.7142856,7908.571428571428,665.8571428571429,36.71804511278196,11.0,273.2857142857143,0,3,0,0
0.0,0.0,0.0,0.0,8.0,0.0,2.0,1237.0,1689.0,782.0,4.0,7.5,2034582.5714285714,0.14285714285714285,14.928571428571429,16.721804511278197,11.0,26.199248120300755,0,3,0,0
0.0,0.0,0.0,0.0,9.0,0.0,27.0,4625.0,38943.0,10909.0,4.0,7.5,85785533.5,170.64285714285714,153.5,60.161654135338345,11.0,98.07142857142857,0,3,0,0
1.0,1.0,0.0,0.0,16.0,0.0,25.0,1435.0,34143.0,15862.0,4.0,7.5,304646078.64285713,8071.428571428572,3.857142857142857,121.05639097744361,11.0,501.14285714285717,0,3,0,0
0.0,0.0,0.0,0.0,8.0,0.0,22.0,1193.0,5202.0,8608.0,4.0,7.5,20561956.214285713,11192.57142857143,4.642857142857143,37.19172932330827,11.0,139.71428571428572,0,3,0,0
1.0,0.0,1.0,0.0,8.0,0.0,30.0,8893.0,1139631.0,670763.0,4.0,7.5,700870571428.5714,468627398.5,1507.857142857143,2728.785714285714,11.0,14357.214285714286,4,3,0,3
1.0,0.0,1.0,0.0,0.0,0.0,30.0,2546.0,202140.0,328369.0,4.0,7.5,170907182175.92856,106061355.71428572,0.0,6187.571428571428,11.0,6988.785714285715,0,3,0,1
1.0,0.0,0.0,0.0,9.0,0.0,30.0,2359.0,311424.0,657048.0,4.0,7.5,147192160655.2143,312385717.71428573,1.2142857142857142,5809.928571428572,11.0,6427.785714285715,0,3,0,1
0.0,0.0,1.0,0.0,16.0,0.0,29.0,764.0,38304.0,10961.0,4.0,7.5,744078417.4285715,1812.7142857142858,1035.0714285714287,979.2857142857143,11.0,714.0714285714286,0,3,0,0
1.0,0.0,0.0,0.0,1.0,0.0,22.0,11148.0,28107.0,57956.0,4.0,7.5,7444092008.5,3939352.0,8.428571428571429,860.0451127819549,11.0,1994.0,0,3,0,0
1.0,0.0,1.0,0.0,13.0,0.0,30.0,2964.0,31941.0,47140.0,4.0,7.5,271065941.0,12774.857142857143,5.428571428571429,30.428571428571427,11.0,892.4285714285714,0,3,0,0
1.0,0.0,0.0,0.0,15.0,0.0,28.0,5890.0,19065.0,75688.0,4.0,7.5,2645281804.642857,533539.4285714285,247.71428571428572,37.33834586466166,11.0,654.3571428571429,0,3,0,0
0.0,0.0,0.0,0.0,6.0,0.0,26.0,478.0,2328.0,1510.0,4.0,7.5,81875849.57142857,727.3571428571429,225.57142857142858,21.033834586466163,11.0,363.64285714285717,0,3,0,0
0.0,0.0,0.0,0.0,15.0,0.0,22.0,412.0,1395.0,4500.0,5.0,7.5,512091.35714285716,5.571428571428571,5.357142857142857,4.436090225563911,11.0,46.29699248120301,0,3,0,0
0.0,0.0,0.0,0.0,6.0,0.0,16.0,1149.0,1320.0,860.0,5.0,7.5,32231.714285714286,0.07142857142857142,2016.5,5.13157894736842,11.0,25.04135338345865,0,3,0,0
0.0,0.0,0.0,0.0,9.0,0.0,27.0,2920.0,29769.0,9284.0,4.0,7.5,60057365.71428572,426.7142857142857,0.6428571428571429,138.0563909774436,11.0,80.78571428571429,0,3,0,0
0.0,0.0,0.0,0.0,1.0,0.0,6.0,786.0,12075.0,6359.0,5.0,7.5,78669111.78571428,339.7142857142857,1218.7142857142858,131.21428571428572,11.0,856.2857142857143,0,3,0,0
0.0,0.0,0.0,0.0,8.0,0.0,16.0,269.0,11691.0,405.0,5.0,7.5,3199892.785714286,1654.142857142857,1503.2142857142858,15.428571428571429,11.0,500.35714285714283,0,3,0,0
0.0,0.0,0.0,0.0,6.0,0.0,14.0,852.0,1674.0,1562.0,5.0,7.5,490697.5,15.571428571428571,48.714285714285715,7.75563909774436,11.0,48.61278195488722,0,3,0,0
0.0,0.0,0.0,0.0,20.0,0.0,29.0,709.0,1563.0,405.0,4.0,7.5,15563660.0,42.714285714285715,48.0,53.609022556390975,11.0,62.09398496240602,0,3,0,0
1.0,0.0,1.0,0.0,0.0,0.0,27.0,5076.0,343074.0,350820.0,4.0,7.5,482756428571.4286,1357422536.9285715,50.714285714285715,1590231.2142857143,11.0,16592.571428571428,4,3,0,2
0.0,0.0,1.0,0.0,6.0,0.0,29.0,731.0,6006.0,14978.0,5.0,7.5,9015150.785714285,3060.8571428571427,1095.7142857142858,21.109022556390975,11.0,131.85714285714286,0,3,0,0
1.0,0.0,0.0,0.0,5.0,0.0,27.0,4867.0,331428.0,1192115.0,4.0,7.5,536823857142.8571,4939195385.428572,91.71428571428571,123.14285714285714,11.0,10197.642857142857,4,3,0,2
0.0,0.0,0.0,0.0,3.0,0.0,9.0,720.0,1089.0,470.0,4.0,7.5,1554477.7142857143,0.0,419.2142857142857,6.748120300751879,11.0,80.86842105263158,0,3,0,0
0.0,0.0,0.0,0.0,13.0,0.0,30.0,346.0,2901.0,860.0,4.0,7.5,4216507.357142857,9.071428571428571,1509.642857142857,208.69172932330827,11.0,225.35714285714286,0,3,0,0
0.0,0.0,0.0,0.0,8.0,0.0,26.0,2777.0,3873.0,10662.0,4.0,7.5,69613366.85714285,866.5714285714286,17.642857142857142,129.23684210526318,11.0,46.379699248120296,0,3,0,0
1.0,0.0,0.0,0.0,16.0,0.0,30.0,1622.0,124752.0,100245.0,4.0,7.5,21232421227.57143,9241924.07142857,220.14285714285714,3486.56015037594,11.0,1042.5,0,3,0,0
0.0,0.0,0.0,0.0,5.0,0.0,16.0,797.0,1092.0,470.0,5.0,7.5,95373.92857142857,0.0,1190.642857142857,7.2669172932330826,11.0,27.357142857142858,0,3,0,0
0.0,0.0,0.0,0.0,4.0,0.0,28.0,1809.0,6642.0,3018.0,4.0,7.5,92101123.28571428,76.35714285714286,1660.2142857142858,33.01127819548872,11.0,146.78571428571428,0,3,0,0
0.0,0.0,1.0,0.0,15.0,0.0,24.0,511.0,5028.0,8517.0,4.0,7.5,443443592.14285713,5143.785714285715,2.7142857142857144,83.40225563909776,11.0,157.0,0,3,0,0
1.0,1.0,0.0,0.0,20.0,0.0,30.0,37856.0,1421073.0,865672.0,4.0,7.5,6087566071428.571,1315685501.2857144,15.0,551059.6428571428,3394.5714285714284,29990.571428571428,2,4,6,6
1.0,0.0,0.0,0.0,8.0,0.0,30.0,2238.0,24708.0,44592.0,4.0,7.5,470230830.64285713,8119.714285714285,0.0,303.2894736842105,11.0,222.21428571428572,0,3,0,0
0.0,0.0,0.0,0.0,7.0,0.0,8.0,412.0,1014.0,600.0,4.0,7.5,6994.857142857143,0.21428571428571427,20.142857142857142,2.913533834586466,11.0,28.969924812030076,0,3,0,0
0.0,0.0,0.0,1.0,8.0,0.0,30.0,14525.0,74169.0,35128.0,4.0,7.5,5210305467.071428,71826.57142857143,0.0,2661.906015037594,11.0,531.7857142857143,0,3,0,0
0.0,0.0,0.0,0.0,20.0,0.0,29.0,1105.0,1179.0,405.0,5.0,7.5,10607193.92857143,26.571428571428573,762.2857142857143,37.09398496240601,11.0,60.81203007518797,0,3,0,0
0.0,0.0,1.0,1.0,0.0,0.0,27.0,27604.0,34911.0,187891.0,4.0,7.5,12795024078.785715,2841278.0714285714,0.0,1687.9548872180453,11.0,634.7142857142857,0,3,0,0
0.0,0.0,1.0,1.0,0.0,0.0,30.0,15757.0,13827.0,66367.0,4.0,7.5,2454544372.357143,126137.5,0.0,3760.3984962406016,11.0,160.14285714285714,0,3,0,0
0.0,0.0,1.0,0.0,20.0,0.0,30.0,1644.0,2709.0,7100.0,5.0,7.5,28363904.92857143,21696.5,671.5,28.214285714285715,11.0,87.85714285714286,0,3,0,0
0.0,0.0,0.0,0.0,8.0,0.0,30.0,1127.0,8640.0,18813.0,4.0,7.5,1204839289.7857144,12671.42857142857,23.357142857142858,3022.684210526316,11.0,91.78571428571429,0,3,0,0
0.0,0.0,0.0,1.0,13.0,0.0,26.0,6880.0,47859.0,38690.0,4.0,7.5,269404432.64285713,40185.71428571428,0.0,109.0,11.0,227.71428571428572,0,3,0,0
1.0,0.0,1.0,0.0,6.0,0.0,26.0,632.0,28044.0,64703.0,4.0,7.5,1461292122.2142856,23693641.14285714,95.85714285714286,53757.857142857145,11.0,2258.0,0,3,0,0
0.0,0.0,0.0,0.0,7.0,0.0,30.0,1083.0,10014.0,30786.0,4.0,7.5,207683942.64285713,31850.0,0.07142857142857142,376.1766917293233,11.0,207.906015037594,0,3,0,0
0.0,0.0,0.0,0.0,3.0,0.0,1.0,434.0,1449.0,782.0,5.0,7.5,3561627.285714286,0.07142857142857142,37.357142857142854,14.105263157894738,11.0,33.68421052631579,0,3,0,0
0.0,0.0,0.0,0.0,3.0,0.0,30.0,1710.0,4545.0,3486.0,5.0,7.5,21686642.785714287,1.7142857142857142,0.5714285714285714,42.251879699248114,11.0,189.21428571428572,0,3,0,0
0.0,0.0,0.0,0.0,1.0,0.0,8.0,533.0,2367.0,3642.0,4.0,7.5,20719624.42857143,135.14285714285714,2103.6428571428573,29.590225563909772,11.0,123.21428571428571,0,3,0,0
0.0,0.0,0.0,1.0,20.0,0.0,21.0,599.0,1953.0,4370.0,4.0,7.5,4110568.5,81.78571428571429,0.0,66.28195488721805,11.0,43.3609022556391,0,3,0,0
1.0,1.0,0.0,0.0,9.0,0.0,30.0,632.0,29709.0,14471.0,4.0,7.5,1308594728.0,18246.64285714286,9.5,2901.285714285714,11.0,1421.2142857142858,0,3,0,0
1.0,0.0,1.0,0.0,6.0,0.0,30.0,4944.0,78543.0,329383.0,4.0,7.5,147877368488.85715,1103820213.0,686.7142857142857,3875644.5714285714,11.0,6317.0,0,3,0,1
0.0,0.0,0.0,0.0,8.0,0.0,29.0,5450.0,12117.0,16291.0,4.0,7.5,1239705400.357143,8574.214285714286,52.642857142857146,60.5,11.0,369.92857142857144,0,3,0,0
1.0,0.0,0.0,0.0,16.0,0.0,29.0,2282.0,26613.0,30396.0,4.0,7.5,1530360693.4285715,10655.714285714286,0.0,2154.93984962406,11.0,234.0,0,3,0,0
1.0,0.0,0.0,0.0,15.0,0.0,17.0,3041.0,87027.0,25079.0,4.0,7.5,253023162.07142857,23101.928571428572,11.571428571428571,259.3872180451128,11.0,317.2857142857143,0,3,0,0
0.0,0.0,0.0,1.0,0.0,0.0,18.0,25701.0,11985.0,6645.0,4.0,7.5,65231096.14285714,78.42857142857143,0.0,130.12781954887217,11.0,55.063909774436084,0,3,0,0
1.0,0.0,0.0,0.0,4.0,0.0,28.0,4097.0,93234.0,531455.0,4.0,7.5,336000214285.7143,394308598.0714286,205.21428571428572,21421.69172932331,11.0,2881.8571428571427,4,3,0,2
1.0,0.0,0.0,0.0,15.0,0.0,21.0,6242.0,149010.0,151777.0,4.0,7.5,2268967564.357143,922362.7142857143,77.35714285714286,448.80827067669173,11.0,710.9285714285714,0,3,0,0
0.0,0.0,1.0,1.0,15.0,0.0,29.0,28165.0,44835.0,18566.0,4.0,7.5,2985808089.142857,49999.21428571428,0.0,1377.5714285714287,11.0,127.92857142857143,0,3,0,0
0.0,0.0,0.0,0.0,1.0,0.0,14.0,2040.0,35895.0,10545.0,4.0,7.5,1335959175.357143,134713.14285714287,819.0,11639.357142857143,11.0,2616.285714285714,0,3,0,0
0.0,0.0,0.0,0.0,8.0,0.0,26.0,1413.0,1311.0,405.0,4.0,7.5,13287047.642857144,3.5714285714285716,537.2142857142857,24.981203007518793,11.0,37.28195488721805,0,3,0,0
1.0,1.0,0.0,0.0,5.0,0.0,30.0,1270.0,1652265.0,1757030.0,5.0,7.5,2130153642857.1428,41357476777.92857,13.714285714285714,4016510.714285714,15981.0,83351.57142857143,1,1,4,10
1.0,1.0,0.0,0.0,10.0,0.0,30.0,1160.0,12306.0,107538.0,4.0,7.5,6891320411.142858,2949862.0,0.0,277.63157894736844,11.0,1011.0714285714286,0,3,0,0
0.0,0.0,0.0,0.0,5.0,0.0,19.0,918.0,2133.0,405.0,5.0,7.5,4845811.285714285,8.785714285714286,555.4285714285714,19.32706766917293,11.0,147.57142857142858,0,3,0,0
1.0,0.0,0.0,0.0,6.0,0.0,16.0,1655.0,2526.0,5787.0,4.0,7.5,9072049.714285715,6.714285714285714,0.6428571428571429,28.02631578947368,11.0,45.18045112781955,0,3,0,0
1.0,0.0,0.0,0.0,8.0,0.0,1.0,3822.0,34908.0,11065.0,4.0,7.5,35780664.571428575,2330.785714285714,0.14285714285714285,98.01503759398497,11.0,149.92857142857142,0,3,0,0
0.0,0.0,0.0,0.0,15.0,0.0,29.0,1017.0,3585.0,12586.0,4.0,7.5,2043413767.7857144,5422369.5,59.5,1286.6015037593984,11.0,921.5,0,3,0,0
1.0,1.0,0.0,0.0,6.0,0.0,30.0,3965.0,11655.0,37975.0,4.0,7.5,633780749.5,180059.35714285713,5.142857142857143,82.0,11.0,785.5714285714286,0,3,0,0
0.0,0.0,0.0,0.0,6.0,0.0,4.0,511.0,1473.0,483.0,5.0,7.5,19678.714285714286,0.14285714285714285,38.285714285714285,4.43609022556391,11.0,29.71428571428572,0,3,0,0
1.0,1.0,0.0,0.0,15.0,0.0,27.0,1809.0,42486.0,91587.0,4.0,7.5,4021995714.285714,566441.6428571428,54.785714285714285,209.69172932330827,11.0,1211.4285714285713,0,3,0,0
0.0,0.0,0.0,0.0,8.0,0.0,28.0,1325.0,2418.0,11689.0,4.0,7.5,34862132.0,98.0,101.5,84.04135338345864,11.0,52.5,0,3,0,0
0.0,0.0,0.0,0.0,7.0,0.0,30.0,313.0,5829.0,7308.0,4.0,7.5,16983204.14285714,1914.7142857142858,30.571428571428573,31.319548872180455,11.0,486.2142857142857,0,3,0,0
0.0,0.0,0.0,1.0,11.0,0.0,25.0,2084.0,29241.0,56682.0,4.0,7.5,993557913.4285715,217221.14285714287,0.0,415.3308270676692,11.0,427.2857142857143,0,3,0,0
1.0,0.0,1.0,0.0,9.0,0.0,30.0,1809.0,8202.0,16226.0,4.0,7.5,416465708.0,24098.428571428572,25.0,67.6578947368421,11.0,320.42857142857144,0,3,0,0
1.0,0.0,0.0,0.0,17.0,0.0,26.0,1644.0,10302.0,5267.0,4.0,7.5,42511868.71428572,163.85714285714286,1.1428571428571428,94.91353383458647,11.0,83.92857142857143,0,3,0,0
1.0,0.0,0.0,0.0,5.0,0.0,30.0,4163.0,23967.0,30071.0,4.0,7.5,1123796736.2857144,203712.85714285713,0.0,391.7142857142857,11.0,1196.5,0,3,0,0
0.0,0.0,0.0,0.0,6.0,0.0,19.0,676.0,2889.0,10116.0,5.0,7.5,35785393.0,191.85714285714286,77.14285714285714,39.17669172932331,11.0,69.0,0,3,0,0
0.0,0.0,0.0,1.0,15.0,0.0,30.0,3734.0,6093.0,25820.0,4.0,7.5,226386534.35714287,14966.857142857143,0.0,722.1766917293232,11.0,91.78571428571429,0,3,0,0
0.0,0.0,1.0,1.0,13.0,0.0,23.0,4845.0,14541.0,27627.0,4.0,7.5,73978253.5,11571.214285714286,0.0,78.00375939849623,11.0,161.71428571428572,0,3,0,0
0.0,0.0,1.0,1.0,0.0,0.0,26.0,36547.0,8067.0,10259.0,4.0,7.5,75635543.07142857,857.0714285714286,0.0,78.11654135338345,11.0,34.96616541353384,0,3,0,0
1.0,0.0,1.0,0.0,6.0,0.0,30.0,1479.0,34803.0,135033.0,4.0,7.5,5661795082.714286,385638242.21428573,38.142857142857146,5223.067669172932,11.0,2115.0,0,3,0,0
1.0,0.0,1.0,0.0,0.0,0.0,27.0,12600.0,18525.0,63754.0,4.0,7.5,3343367388.428571,858485.2142857143,151.14285714285714,285.57518796992485,11.0,576.5714285714286,0,3,0,0
0.0,0.0,0.0,1.0,13.0,0.0,30.0,16538.0,69948.0,48752.0,4.0,7.5,1510971377.5714285,317905.4285714286,0.0,954.8571428571429,11.0,395.07142857142856,0,3,0,0
1.0,0.0,0.0,0.0,6.0,0.0,7.0,357.0,1152.0,418.0,4.0,7.5,550281.7857142857,4.571428571428571,33.642857142857146,29.142857142857142,11.0,41.66541353383458,0,3,0,0
